AverageTemperature,AverageTemperatureUncertainty,City,Year,Month,Day
26.012,1.04,Acapulco,1866,10,1
26.003,1.264,Acapulco,1866,11,1
26.013,1.296,Acapulco,1866,12,1
25.729,1.539,Acapulco,1867,1,1
24.758,1.344,Acapulco,1867,2,1
25.426,1.807,Acapulco,1867,3,1
24.997,1.293,Acapulco,1867,4,1
26.327,1.291,Acapulco,1867,5,1
27.67,1.132,Acapulco,1867,6,1
27.488,1.193,Acapulco,1867,7,1
27.487,1.273,Acapulco,1867,8,1
27.369,1.106,Acapulco,1867,9,1
26.86,1.222,Acapulco,1867,10,1
26.473,1.714,Acapulco,1867,11,1
27.168,2.142,Acapulco,1867,12,1
25.258,1.399,Acapulco,1868,1,1
23.533,1.745,Acapulco,1868,2,1
24.345,1.437,Acapulco,1868,3,1
24.574,1.377,Acapulco,1868,4,1
25.696,1.302,Acapulco,1868,5,1
27.496,1.192,Acapulco,1868,6,1
27.006,1.125,Acapulco,1868,7,1
27.199,1.241,Acapulco,1868,8,1
26.753,1.172,Acapulco,1868,9,1
26.774,1.301,Acapulco,1868,10,1
25.204,1.312,Acapulco,1868,11,1
24.946,1.435,Acapulco,1868,12,1
25.231,1.989,Acapulco,1869,1,1
25.661,1.938,Acapulco,1869,2,1
24.896,1.416,Acapulco,1869,3,1
25.324,1.639,Acapulco,1869,4,1
26.402,1.246,Acapulco,1869,5,1
27.234,1.453,Acapulco,1869,6,1
27.641,1.321,Acapulco,1869,7,1
27.045,1.373,Acapulco,1869,8,1
27.31,1.371,Acapulco,1869,9,1
26.432,1.497,Acapulco,1869,10,1
27.499,2.225,Acapulco,1869,11,1
24.39,1.598,Acapulco,1869,12,1
24.954,1.996,Acapulco,1870,1,1
23.98,1.881,Acapulco,1870,2,1
24.774,1.675,Acapulco,1870,3,1
24.448,1.423,Acapulco,1870,4,1
26.399,1.524,Acapulco,1870,5,1
27.705,1.452,Acapulco,1870,6,1
27.498,1.264,Acapulco,1870,7,1
27.148,1.251,Acapulco,1870,8,1
27.875,1.983,Acapulco,1870,9,1
26.597,1.38,Acapulco,1870,10,1
26.006,1.636,Acapulco,1870,11,1
23.566,2.004,Acapulco,1870,12,1
24.055,1.724,Acapulco,1871,1,1
24.308,2.661,Acapulco,1871,2,1
24.009,1.768,Acapulco,1871,3,1
24.87,1.579,Acapulco,1871,4,1
25.671,1.563,Acapulco,1871,5,1
26.832,1.302,Acapulco,1871,6,1
27.317,1.337,Acapulco,1871,7,1
27.963,1.132,Acapulco,1871,8,1
27.433,1.611,Acapulco,1871,9,1
26.183,1.14,Acapulco,1871,10,1
26.599,1.648,Acapulco,1871,11,1
25.545,1.784,Acapulco,1871,12,1
23.619,1.983,Acapulco,1872,1,1
24.287,1.563,Acapulco,1872,2,1
24.48,1.408,Acapulco,1872,3,1
24.939,1.576,Acapulco,1872,4,1
26.904,1.44,Acapulco,1872,5,1
27.404,1.51,Acapulco,1872,6,1
27.817,1.296,Acapulco,1872,7,1
27.21,1.373,Acapulco,1872,8,1
27.546,1.225,Acapulco,1872,9,1
26.719,1.093,Acapulco,1872,10,1
25.159,1.586,Acapulco,1872,11,1
24.712,1.601,Acapulco,1872,12,1
23.573,1.627,Acapulco,1873,1,1
25.98,1.857,Acapulco,1873,2,1
24.488,1.505,Acapulco,1873,3,1
23.823,1.708,Acapulco,1873,4,1
26.709,1.194,Acapulco,1873,5,1
26.957,1.433,Acapulco,1873,6,1
27.177,1.121,Acapulco,1873,7,1
26.953,1.189,Acapulco,1873,8,1
26.39,1.235,Acapulco,1873,9,1
26.57,1.239,Acapulco,1873,10,1
25.156,1.257,Acapulco,1873,11,1
26.533,1.287,Acapulco,1873,12,1
24.822,1.641,Acapulco,1874,1,1
25.483,1.705,Acapulco,1874,2,1
24.867,1.61,Acapulco,1874,3,1
23.531,1.321,Acapulco,1874,4,1
25.333,1.454,Acapulco,1874,5,1
26.52,1.63,Acapulco,1874,6,1
26.698,1.278,Acapulco,1874,7,1
27.742,1.102,Acapulco,1874,8,1
26.562,1.119,Acapulco,1874,9,1
26.243,1.73,Acapulco,1874,10,1
26.679,1.449,Acapulco,1874,11,1
26.21,1.41,Acapulco,1874,12,1
23.332,1.76,Acapulco,1875,1,1
23.837,1.485,Acapulco,1875,2,1
24.51,1.491,Acapulco,1875,3,1
23.995,1.311,Acapulco,1875,4,1
25.958,1.172,Acapulco,1875,5,1
27.21,1.326,Acapulco,1875,6,1
27.409,1.215,Acapulco,1875,7,1
27.293,1.084,Acapulco,1875,8,1
25.94,1.072,Acapulco,1875,9,1
26.221,1.145,Acapulco,1875,10,1
26.493,1.414,Acapulco,1875,11,1
25.938,1.383,Acapulco,1875,12,1
25.711,1.377,Acapulco,1876,1,1
24.416,1.587,Acapulco,1876,2,1
24.23,1.803,Acapulco,1876,3,1
24.433,1.434,Acapulco,1876,4,1
25.654,1.358,Acapulco,1876,5,1
27.148,1.213,Acapulco,1876,6,1
27.266,1.136,Acapulco,1876,7,1
27.266,1.105,Acapulco,1876,8,1
26.688,1.262,Acapulco,1876,9,1
26.551,1.248,Acapulco,1876,10,1
25.492,1.312,Acapulco,1876,11,1
23.604,1.342,Acapulco,1876,12,1
24.188,1.591,Acapulco,1877,1,1
23.712,1.69,Acapulco,1877,2,1
23.63,1.751,Acapulco,1877,3,1
24.256,1.514,Acapulco,1877,4,1
26.094,1.34,Acapulco,1877,5,1
27.1,1.796,Acapulco,1877,6,1
27.752,1.23,Acapulco,1877,7,1
28.145,1.35,Acapulco,1877,8,1
27.465,1.151,Acapulco,1877,9,1
27.916,1.661,Acapulco,1877,10,1
26.389,1.445,Acapulco,1877,11,1
25.598,1.949,Acapulco,1877,12,1
25.023,1.172,Acapulco,1878,1,1
24.587,1.191,Acapulco,1878,2,1
24.658,1.031,Acapulco,1878,3,1
25.878,1.23,Acapulco,1878,4,1
